dep,date2,golos
Євтушок С.М.,2020-12-20,195
Євтушок С.М.,2021-01-31,217
Євтушок С.М.,2021-02-07,149
Євтушок С.М.,2021-02-21,180
Євтушок С.М.,2021-02-28,0
Євтушок С.М.,2021-03-07,155
Євтушок С.М.,2021-03-21,402
Євтушок С.М.,2021-04-04,43
Євтушок С.М.,2021-04-18,551
Євтушок С.М.,2021-05-02,375
Євтушок С.М.,2021-05-23,255
Євтушок С.М.,2021-06-06,238
Євтушок С.М.,2021-06-20,391
Євтушок С.М.,2021-07-04,352
Євтушок С.М.,2021-07-18,423
Євтушок С.М.,2021-07-25,9
Євтушок С.М.,2021-08-29,4
Євтушок С.М.,2021-09-12,159
Євтушок С.М.,2021-09-26,153
Євтушок С.М.,2021-10-10,106
Євтушок С.М.,2021-10-24,452
Євтушок С.М.,2021-11-07,376
Євтушок С.М.,2021-11-21,163
Євтушок С.М.,2021-12-05,331
Євтушок С.М.,2021-12-19,217
Євтушок С.М.,2022-01-30,117
Євтушок С.М.,2022-02-06,27
Євтушок С.М.,2022-02-20,17
Євтушок С.М.,2022-02-27,34
Євтушок С.М.,2022-04-24,78
Євтушок С.М.,2022-05-08,90
Євтушок С.М.,2022-05-15,45
Євтушок С.М.,2022-05-22,30
Євтушок С.М.,2022-06-05,51
Євтушок С.М.,2022-06-19,38
Євтушок С.М.,2022-06-26,71
Євтушок С.М.,2022-07-03,46
Євтушок С.М.,2022-07-10,100
Євтушок С.М.,2022-07-24,93
Євтушок С.М.,2022-07-31,212
Євтушок С.М.,2022-08-21,127
Євтушок С.М.,2022-09-04,51
Євтушок С.М.,2022-09-11,68
Євтушок С.М.,2022-09-25,129
Євтушок С.М.,2022-10-09,199
Євтушок С.М.,2022-10-23,77
Євтушок С.М.,2022-11-06,105
Євтушок С.М.,2022-11-20,100
Євтушок С.М.,2022-12-04,98
Євтушок С.М.,2022-12-18,52
Євтушок С.М.,2023-01-15,2
Євтушок С.М.,2023-02-12,156
Єфімов М.В.,2020-12-20,134
Єфімов М.В.,2021-01-31,206
Єфімов М.В.,2021-02-07,173
Єфімов М.В.,2021-02-21,176
Єфімов М.В.,2021-02-28,3
Єфімов М.В.,2021-03-07,150
Єфімов М.В.,2021-03-21,342
Єфімов М.В.,2021-04-04,50
Єфімов М.В.,2021-04-18,389
Єфімов М.В.,2021-05-02,363
Єфімов М.В.,2021-05-23,256
Єфімов М.В.,2021-06-06,137
Єфімов М.В.,2021-06-20,384
Єфімов М.В.,2021-07-04,308
Єфімов М.В.,2021-07-18,414
Єфімов М.В.,2021-07-25,0
Єфімов М.В.,2021-08-29,0
Єфімов М.В.,2021-09-12,150
Єфімов М.В.,2021-09-26,157
